task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
44	eb/34f971	f6b0017c-e1c8-4b4f-9c81-2ef1495e59bc	generateRDF (43)	COMPLETED	0	2024-11-02 19:46:18.961	5m 9s	3m 23s	36.3%	53.8 MB	61 MB	8 GB	17.3 KB
36	a8/91944d	32f118bf-b4cd-41f5-9941-6c1a22e31811	generateRDF (35)	COMPLETED	0	2024-11-02 19:46:18.994	5m 9s	3m 13s	40.9%	53.9 MB	61 MB	8 GB	17.3 KB
194	cc/b51d8a	6b4edeb7-6bda-4b4f-a849-d55a50936cbd	generateRDF (193)	COMPLETED	0	2024-11-02 19:46:21.552	5m 7s	3m 18s	42.0%	53.8 MB	61 MB	8 GB	17.3 KB
202	d4/ca9e04	7441d871-eb1f-414f-af64-c5ffb2213ceb	generateRDF (201)	COMPLETED	0	2024-11-02 19:46:21.653	5m 7s	3m 15s	38.5%	53.8 MB	61 MB	8 GB	17.3 KB
203	9d/cde3ff	bb939024-e9ae-45fc-a60c-eab2fcfe3cfb	generateRDF (202)	COMPLETED	0	2024-11-02 19:46:21.764	5m 7s	3m 19s	37.8%	53.9 MB	61 MB	8 GB	17.3 KB
61	54/d5cadd	1cc09960-be1c-4791-a077-6db9262090ae	generateRDF (60)	COMPLETED	0	2024-11-02 19:46:19.075	5m 19s	3m 30s	35.5%	54 MB	61 MB	8 GB	17.3 KB
45	ea/e1eeb0	32553ef7-e4ba-45de-a888-c896dd3ff95b	generateRDF (44)	COMPLETED	0	2024-11-02 19:46:19.136	5m 19s	3m 28s	38.1%	53.8 MB	61 MB	8 GB	17.3 KB
120	2d/cde06a	dcf779f7-a0b7-4508-8067-2ab441b9cda4	generateRDF (119)	COMPLETED	0	2024-11-02 19:46:20.097	5m 18s	3m 20s	37.0%	53.8 MB	61 MB	8 GB	17.3 KB
195	c7/836fb6	7d492d83-7679-41d3-964c-88a2e55a62f9	generateRDF (194)	COMPLETED	0	2024-11-02 19:46:21.599	5m 17s	3m 21s	37.6%	53.8 MB	61 MB	8 GB	17.3 KB
281	10/9d118c	5c043cdc-5d71-4497-b7e9-d0c7d4cee8d1	generateRDF (280)	COMPLETED	0	2024-11-02 19:46:22.846	5m 16s	2m 4s	46.2%	53.7 MB	61 MB	8 GB	17.3 KB
2	5a/32ce2f	c18b3774-e8bc-4077-b6d9-8b78d2aec101	generateRDF (1)	COMPLETED	0	2024-11-02 19:46:18.906	5m 29s	3m 36s	35.6%	54.1 MB	61 MB	8 GB	17.3 KB
3	1e/c1fef5	468a528f-d897-49ce-b4f7-d64a69f56ac0	generateRDF (2)	COMPLETED	0	2024-11-02 19:46:18.920	5m 29s	3m 40s	33.6%	53.9 MB	61 MB	8 GB	17.3 KB
14	bc/72cb3e	a0b9db14-8b35-4685-b89c-f2435c16cca3	generateRDF (13)	COMPLETED	0	2024-11-02 19:46:18.939	5m 29s	3m 37s	35.4%	53.9 MB	61 MB	8 GB	17.3 KB
52	54/983548	1a4caeb7-8c41-48a1-a4c1-4deb60806256	generateRDF (51)	COMPLETED	0	2024-11-02 19:46:19.065	5m 29s	3m 38s	36.1%	53.9 MB	61 MB	8 GB	17.3 KB
60	d3/6370de	0931bdd7-0826-4758-9a83-4aec5df48ce6	generateRDF (59)	COMPLETED	0	2024-11-02 19:46:19.073	5m 30s	3m 34s	38.0%	53.9 MB	61 MB	8 GB	17.3 KB
50	6f/71c62a	f4fd3cce-c7f4-41d6-8688-ccab4b6c68f7	generateRDF (49)	COMPLETED	0	2024-11-02 19:46:19.105	5m 30s	3m 38s	32.8%	53.7 MB	61 MB	8 GB	17.3 KB
58	0e/8f8bc7	a483c8e6-371f-42a4-8bc2-0df3f9405eee	generateRDF (57)	COMPLETED	0	2024-11-02 19:46:19.123	5m 30s	3m 38s	36.0%	54 MB	61 MB	8 GB	17.3 KB
51	78/300696	32ffa14f-4260-40a5-91e1-d95ff62d8e0d	generateRDF (50)	COMPLETED	0	2024-11-02 19:46:19.156	5m 30s	3m 37s	35.9%	53.9 MB	61 MB	8 GB	17.3 KB
